SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
86,2820,KADAPA,282047,SAMBEPALLI,DEVAPATLA,28204700916,APSWRS DEVA PATTA,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
87,2820,KADAPA,282050,GALIVEEDU,GALIVEEDU,28205001225,ZPHS GALIVEEDU(GIRLS),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
88,2820,KADAPA,282050,GALIVEEDU,GALIVEEDU,28205001229,KGBV GALIVEEDU,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
89,2820,KADAPA,282003,PEDDAMUDIUM,PEDDA PASUPULA,28200302607,KGBV PEDDAPASUPULA,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
90,2820,KADAPA,282006,MYDUKUR,ONIPENTA,28200600914,APRS BC HS ONIPENTA (G),Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Girls,5,10,English,None,None,None
91,2820,KADAPA,282018,SIMHADRIPURAM,SIMHADRIPURAM,28201801214,KGBV SIMHADRIPURAM,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
92,2820,KADAPA,282030,SIDHOUT,SIDHOUT @ SIDDAVATTAM,28203001111,SBS HS SABAPATHI NAGAR(G),Rural,Upper Pr. and Secondary,Pvt.Aided,Girls,6,10,Telugu,None,None,None
93,2820,KADAPA,282047,SAMBEPALLI,SAMBEPALLI,28204700705,KGBVS SAMBEPALLIE,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
94,2820,KADAPA,282049,RAYACHOTY,CHENNAMUKKAPALLI,28204901108,APSWRS KUMMARAPALLI(G),Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Girls,5,12,English,None,None,None
95,2820,KADAPA,282049,RAYACHOTY,RAYACHOTI,28204901202,ZPHS RAYACHOTY(Girls),Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
96,2820,KADAPA,282008,B.KODUR,KODURU,28200801109,KGBV SCHOOL B KODURU,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,Telugu,None,None
97,2820,KADAPA,282016,JAMMALAMADUGU,JAMMALAMADUGU,28201690643,ZPHS JMD(GIRLS),Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
98,2820,KADAPA,282016,JAMMALAMADUGU,JAMMALAMADUGU,28201690646,LMC HS JMD(G),Urban,Upper Pr. and Secondary,Pvt.Aided,Girls,6,10,Telugu,None,None,None
99,2820,KADAPA,282017,MUDDANUR,MUDDANUR,28201701014,ZPHS MADDANUR(GIRLS),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
100,2820,KADAPA,282020,PULIVENDLA,"PAULREDDY MEMORIAL,PDL",28202001438,ZPHS GIRLS PULIVENDULA,Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
101,2820,KADAPA,282020,PULIVENDLA,"PAULREDDY MEMORIAL,PDL",28202001499,MADARSA E KHATHEEJATHUL KUBRA,Urban,Primary,Madarsa unrecognized,Girls,1,5,Urdu,None,None,None
102,2820,KADAPA,282021,VEMULA,VEMULA,28202101010,KGBVS VEMULA,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,Telugu,English,None,None
103,2820,KADAPA,282022,THONDUR,THONDUR,28202200306,APSWRHS THONDUR,Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Girls,5,12,English,None,None,None
